TEAM,CONFERENCE,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Long Island Spiders,Frontier Conference,Elevate302,,,,,,,,,,,,,
Bradenton Dragons,Frontier Conference,Elevate302,,,,,,,,,,,,,
Syracuse Bulls,Frontier Conference,Elevate302,,,,,,,,,,,,,
Euclid Hornets,Frontier Conference,Elevate302,,,,,,,,,,,,,
Waco Watchdogs,Frontier Conference,Elevate302,,,,,,,,,,,,,
San Jose Owls,Frontier Conference,Elevate302,,,,,,,,,,,,,
Cherokee Axes,Frontier Conference,Elevate302,,,,,,,,,,,,,
Sioux Falls Red Beaks,Frontier Conference,Elevate302,,,,,,,,,,,,,
Omaha Mustangs,Frontier Conference,Elevate302,,,,,,,,,,,,,
Billings Blue Hawks,Frontier Conference,Elevate302,,,,,,,,,,,,,
Reno Rams,Frontier Conference,Elevate302,,,,,,,,,,,,,
Lubbock Dust Devils,Frontier Conference,Elevate302,,,,,,,,,,,,,
Santa Clara Rockets,Frontier Conference,Elevate302,,,,,,,,,,,,,
Tulsa Outlaws,Frontier Conference,Elevate302,,,,,,,,,,,,,
Tucson Copperheads,Frontier Conference,Elevate302,,,,,,,,,,,,,
Duluth Wolves,Frontier Conference,Elevate302,,,,,,,,,,,,,
Fort Lauderdale Typhoons,Frontier Conference,Elevate302,,,,,,,,,,,,,
San Antonio Scorpions,Frontier Conference,Elevate302,,,,,,,,,,,,,
Manhattan Kraken,Frontier Conference,Elevate302,,,,,,,,,,,,,
Buffalo Lions,Frontier Conference,Elevate302,,,,,,,,,,,,,
Montauk Cavaliers,Frontier Conference,Elevate302,,,,,,,,,,,,,
Charleston Pride,Frontier Conference,Elevate302,,,,,,,,,,,,,
Honolulu Sharks,Frontier Conference,Elevate302,,,,,,,,,,,,,
Norfolk Coyotes,Frontier Conference,Elevate302,,,,,,,,,,,,,
Arizona Panthers,Western Conference,EBA,,,,,,,,,,,,,
Atlanta Breeze,Eastern Conference,EBA,,,,,,,,,,,,,
Baltimore Nighthawks,Eastern Conferenc,EBA,,,,,,,,,,,,,
Charlotte Empire,Eastern Conference,EBA,,,,,,,,,,,,,
Chicago Aces,Eastern Conference,EBA,,,,,,,,,,,,,
Detroit Bullets,Eastern Conference,EBA,,,,,,,,,,,,,
Houston Hustle,Western Conference,EBA,,,,,,,,,,,,,
Indiana Bandits,Eastern Conference,EBA,,,,,,,,,,,,,
Las Vegas Thrill,Western Conference,EBA,,,,,,,,,,,,,
Mexico City Aztecs,Western Conference,EBA,,,,,,,,,,,,,
Miami Beach Kings,Eastern Conference,EBA,,,,,,,,,,,,,
Minnesota Huskies,Eastern Conference,EBA,,,,,,,,,,,,,
Nashville Anthem,Western Conference,EBA,,,,,,,,,,,,,
New York Knights,Eastern Conference,EBA,,,,,,,,,,,,,
Oregon Skyhawks,Western Conference,EBA,,,,,,,,,,,,,
Orlando Supernovas,Eastern Conference,EBA,,,,,,,,,,,,,
Philadelphia Glory,Eastern Conference,EBA,,,,,,,,,,,,,
Phoenix Power,Western Conference,EBA,,,,,,,,,,,,,
Portland Vipers,Western Conference,EBA,,,,,,,,,,,,,
Sacramento Rage,Western Conference,EBA,,,,,,,,,,,,,
San Diego Storm,Western Conference,EBA,,,,,,,,,,,,,
Seattle Reign,Western Conference,EBA,,,,,,,,,,,,,
Toronto Terror,Eastern Conference,EBA,,,,,,,,,,,,,
Washington Volt,Western Conference,EBA,,,,,,,,,,,,,
