TEAM,CONFERENCE,GP,WIN,LOSS,PF,PA,DIFF,STREAK,STREAK_SIGN,FFW,FFL
Mexico City Aztecs,Western Conference,2,2,0,204,157,47,2,1,0,0
San Diego Storm,Western Conference,2,2,0,169,126,43,2,1,0,0
Atlanta Breeze,Eastern Conference,2,2,0,218,177,41,2,1,0,0
Toronto Terror,Eastern Conference,2,2,0,196,156,40,2,1,0,0
Phoenix Power,Western Conference,2,2,0,102,66,36,1,1,1,0
Chicago Aces,Eastern Conference,2,2,0,77,76,1,1,1,1,0
Nashville Anthem,Western Conference,2,1,1,155,123,32,1,-1,0,0
Sacramento Rage,Western Conference,2,1,1,222,201,21,1,-1,0,0
Orlando Supernovas,Eastern Conference,2,1,1,129,109,20,1,1,0,0
Indiana Bandits,Eastern Conference,2,1,1,171,169,2,1,-1,0,0
Las Vegas Thrill,Western Conference,2,1,1,141,139,2,1,1,0,0
Minnesota Huskies,Eastern Conference,2,1,1,151,150,1,1,1,0,0
New York Knights,Eastern Conference,2,1,1,0,0,0,0,0,1,1
Charlotte Empire,Eastern Conference,2,1,1,76,77,-1,1,-1,1,0
Houston Hustle,Western Conference,2,1,1,157,167,-10,1,-1,0,0
Washington Volt,Western Conference,2,1,1,156,166,-10,1,-1,0,0
Oregon Skyhawks,Western Conference,2,1,1,175,205,-30,1,1,0,0
Detroit Bullets,Eastern Conference,2,1,1,154,194,-40,1,1,0,0
Baltimore Nighthawks,Eastern Conference,2,0,2,0,0,0,0,0,0,2
Philadelphia Glory,Eastern Conference,2,0,2,76,85,-9,1,-1,0,1
Arizona Panthers,Western Conference,2,0,2,99,132,-33,2,-1,0,0
Portland Vipers,Western Conference,2,0,2,144,186,-42,2,-1,0,0
Miami Beach Kings,Eastern Conference,2,0,2,123,169,-46,2,-1,0,0
Seattle Reign,Western Conference,2,0,2,141,206,-65,2,-1,0,0
